Year,Balance
2003,2,286
2004,-764
2005,-1,244
2006,-880
2007,-2,007
2008,-5,215
2009,-1,306
2010,-5,760
2011,-9,308
2012,-15,062
2013,-17,164
2014,-11,349
2015,-11,603
2016,-6,579
2017,-4,710
2018,-7,058
2019,-1,761
2020,14,061
2021,4,730
2022,-20,838
2023,704
